,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,seed_data,seed_models
0,DA,0.39654772331881394,0.8639344262295082,25.243056058883667,0.060209724991471446,-0.029017664409418532,0.007663379588108602,-0.017059023810484207,0,0
1,Dragonnet,0.3687982285540517,0.8441047654979598,113.98771214485168,0.15136176347732544,-0.02940351516008377,0.016214070841670036,0.011723458766937256,0,0
2,CEVAE,0.3240467972267385,0.8446862366666875,285.23346519470215,0.19118580222129822,0.04847756773233414,-0.028210816904902458,0.028599174693226814,0,0
3,M3E2,0.39464670459338286,0.6918181818181818,85.93722200393677,-0.3372683823108673,0.25459906458854675,-0.2137010395526886,0.30606967210769653,0,0
4,TrueTreat,0.7963302752293578,0.0,0.0,-1.0275229357798166,-0.25688073394495414,0.20550458715596334,-0.10275229357798168,0,0
5,DA,0.3944565315510361,0.8641227538865334,11.756643056869507,0.07518136577653789,-0.026760430616221652,0.02257882217267305,-0.01100768873307183,0,1
6,Dragonnet,0.3863856649171527,0.8570976282636114,107.15388631820679,0.10709285736083984,-0.030785534530878067,0.020080020651221275,-0.009109411388635635,0,1
7,CEVAE,0.31722417950220066,0.8542575517423545,278.8582761287689,0.19666148722171783,0.07071858644485474,-0.028314800933003426,0.02806895785033703,0,1
8,M3E2,0.16033972614538777,0.6878787878787879,86.66269564628601,1.1828454732894897,0.43466562032699585,-0.15760867297649384,0.3631078600883484,0,1
9,TrueTreat,0.7963302752293578,0.0,0.0,-1.0275229357798166,-0.25688073394495414,0.20550458715596334,-0.10275229357798168,0,1
10,DA,0.3980363986542475,0.8670331907961719,11.366466999053955,0.06022805808320811,-0.0260371896268063,0.028933968402948977,-0.004741944211727084,0,2
11,Dragonnet,0.3804841986624257,0.8495511290482615,117.38627934455872,0.11824309080839157,-0.025099938735365868,0.02184443548321724,-0.0005749607807956636,0,2
12,CEVAE,0.2760118301855315,0.8474624632294058,278.55510091781616,0.20681311190128326,0.052374839782714844,-0.211142435669899,0.029558539390563965,0,2
13,M3E2,0.2090639146147381,0.69,86.10596203804016,1.184384822845459,0.5143411755561829,-0.017755765467882156,0.3369368016719818,0,2
14,TrueTreat,0.7963302752293578,0.0,0.0,-1.0275229357798166,-0.25688073394495414,0.20550458715596334,-0.10275229357798168,0,2
15,DA,0.3929366778576731,0.863905325443787,11.078530073165894,0.07640025373064604,-0.014099394954163418,0.029978487216304094,-0.011408532532155322,0,3
16,Dragonnet,0.37758845785571854,0.8640947549494102,107.23661065101624,0.12723758816719055,-0.029848815873265266,0.015965895727276802,0.0008838424691930413,0,3
17,CEVAE,0.32078056001625616,0.8657981427178453,280.2448103427887,0.19363650679588318,0.054744284600019455,-0.03966587036848068,0.021491648629307747,0,3
18,M3E2,0.4231892641872988,0.7096969696969697,86.01669192314148,-0.3617725968360901,0.16862742602825165,-0.2736127972602844,0.24985229969024658,0,3
19,TrueTreat,0.7963302752293578,0.0,0.0,-1.0275229357798166,-0.25688073394495414,0.20550458715596334,-0.10275229357798168,0,3
20,DA,0.3926172129528503,0.8722665031677908,10.786644458770752,0.07269201065674362,-0.010413473842754824,0.023115838375178055,-0.01697099979149593,0,4
21,Dragonnet,0.39016999198645014,0.847907548784403,111.90565276145935,0.09081488847732544,-0.045508209615945816,0.0073195272125303745,-0.0060065691359341145,0,4
22,CEVAE,0.36104187451485287,0.8455657292548507,225.62441062927246,0.2064017802476883,,-0.029573364183306694,0.016679048538208008,0,4
23,M3E2,0.18409938505944717,0.6887878787878788,86.39125490188599,1.24299156665802,0.5124211311340332,-0.028590815141797066,0.1912270337343216,0,4
24,TrueTreat,0.7963302752293578,0.0,0.0,-1.0275229357798166,-0.25688073394495414,0.20550458715596334,-0.10275229357798168,0,4
25,DA,0.3909118039460009,0.8708457711442786,11.635494947433472,0.07108310328973891,-0.007890655797789773,0.018434208618699485,-0.015744904198537652,0,5
26,Dragonnet,0.3834042461734231,0.859734761884566,107.04205918312073,0.12348021566867828,-0.025921471416950226,0.02537507563829422,-0.013140102848410606,0,5
27,CEVAE,0.2897093769773807,0.8489259617476216,270.71531772613525,0.21772058308124542,0.07623456418514252,-0.1313546597957611,0.008513235487043858,0,5
28,M3E2,0.15191804398227177,0.6984848484848485,84.1462414264679,1.0089551210403442,0.6140639781951904,-0.12099312245845795,0.25016194581985474,0,5
29,TrueTreat,0.7963302752293578,0.0,0.0,-1.0275229357798166,-0.25688073394495414,0.20550458715596334,-0.10275229357798168,0,5
30,DA,0.38823643571483724,0.862615859938208,10.873882532119751,0.07264287688727328,-0.0164975931672788,0.01645266553015923,2.218940953153791e-05,0,6
31,Dragonnet,0.3907378577772494,0.8484876774917124,111.05058431625366,0.10830897092819214,-0.03362300619482994,0.020103694871068,-0.024873150512576103,0,6
32,CEVAE,0.31540435283966023,0.8448425563438444,268.6795856952667,0.14982934296131134,0.07412073016166687,-0.03844618797302246,0.0686468780040741,0,6
33,M3E2,0.20258024894726384,0.6736363636363636,83.87821054458618,1.235426425933838,0.534394383430481,-0.08328048884868622,0.3054320514202118,0,6
34,TrueTreat,0.7963302752293578,0.0,0.0,-1.0275229357798166,-0.25688073394495414,0.20550458715596334,-0.10275229357798168,0,6
35,DA,0.3880863163656787,0.8650745050010206,13.340769529342651,0.07408878316694395,-0.017291531825893474,0.011913388426504454,-0.004568577918544785,0,7
36,Dragonnet,0.38803311375374566,0.8531978784324917,103.8552258014679,0.09853442758321762,-0.0205027274787426,0.03850347176194191,0.000999867101199925,0,7
37,CEVAE,0.31685930827222425,0.851707556307161,267.0353310108185,0.24653594195842743,0.015592336654663086,-0.024241695180535316,0.038853343576192856,0,7
38,M3E2,0.2066713739289056,0.6763636363636364,84.89949822425842,1.2483365535736084,0.5549293160438538,-0.16001465916633606,0.3650856614112854,0,7
39,TrueTreat,0.7963302752293578,0.0,0.0,-1.0275229357798166,-0.25688073394495414,0.20550458715596334,-0.10275229357798168,0,7
40,DA,0.3846436886007782,0.8681296557278035,11.20564341545105,0.05838665161067175,0.008722914407103228,0.014817790313533068,0.0017940203513611517,1,0
